original_title,runtime,year_release,budget_adjusted,revenue_final_adjusted
La vida precoz y breve de Sabina Rivas,115.0,2012,6010806,3115991
Fun Size,87.0,2012,18214563,14854447
피에타,104.0,2012,134007,4714098
Venuto al mondo,127.0,2012,16913523,23802
Stitches,86.0,2012,130104,123598
Sur la Piste du Marsupilami,105.0,2012,65052014,63230557
La Vérité si je Mens ! 3,120.0,2012,33172141,53245050
Bwakaw,104.0,2012,14543,45092
Poslednyaya skazka Rity,100.0,2012,260208,633524
Cocktail,144.0,2012,8326657,24459557
Agneepath,174.0,2012,14437644,63787402
Captive,120.0,2012,14545,31993
राउडी राठौर,143.0,2012,8716969,40332248
Sholem Aleichem: Laughing In The Darkness,93.0,2012,650520,1099623
Zaytoun,107.0,2012,10408322,55073
Il peggior Natale della mia vita,0.0,2012,8903669,13925338
Benvenuti al nord,110.0,2012,7806241,45536409
Gabbar Singh,136.0,2012,9107281,20816644
Paranormal Activity 4,95.0,2012,6505201,185811960
Hotel Transylvania,91.0,2012,110588423,466261095
Alex Cross,101.0,2012,58546812,39490777
Jagten,115.0,2012,4943953,21857476
2 Coelhos,108.0,2012,2602080,2108252
Sparkle,116.0,2012,18214563,32054339
Resident Evil: Retribution,95.0,2012,84567618,312456864
ATM,90.0,2012,3903120,3916
Silver Linings Playbook,122.0,2012,27321845,267674354
Life of Pi,127.0,2012,156124833,792355083
Les Misérables,157.0,2012,79363457,574812307
Not Fade Away,112.0,2012,26020805,794664
Quartet,98.0,2012,14311443,77438305
Promised Land,106.0,2012,19515604,10588891
The Sweeney,112.0,2012,4853530,8188956
English Vinglish,133.0,2012,3694954,15118088
Lo imposible,113.0,2012,54643691,234543895
The Samaritan,90.0,2012,15612483,3279
Shadow Dancer,101.0,2012,8196553,546375
Dark Tide,113.0,2012,32526007,562405
Upside Down,104.0,2012,78062416,10546850
Burn,86.0,2012,292734,144805
Den Skaldede Frisør,116.0,2012,7155721,13032434
Jagal,115.0,2012,1301040,578409
Gangs of वासेपुर,320.0,2012,1821456,5334265
Oh Boy,88.0,2012,390312,3578218
The Perks of Being a Wallflower,102.0,2012,16913523,43454745
Parental Guidance,104.0,2012,32526007,155828498
Soldiers of Fortune,94.0,2012,10408322,2045287
Белый тигр,104.0,2012,14311443,9367490
Cloud Atlas,172.0,2012,132706108,169763467
Silent Hill: Revelation 3D,94.0,2012,26020805,68048044
Killing Them Softly,97.0,2012,19515604,49349062
The Sessions,98.0,2012,1301040,11889345
Smashed,85.0,2012,650520,489967
Wreck-It Ralph,108.0,2012,214671646,613079960
The Paperboy,107.0,2012,16263003,1761436
The Possession,92.0,2012,18214563,111168785
Seven Psychopaths,110.0,2012,19515604,25269143
Bachelorette,87.0,2012,3903120,15544769
The Words,96.0,2012,7806241,17214663
Red Lights,119.0,2012,18214563,17630623
The Cold Light of Day,93.0,2012,26020805,21940200
Looper,118.0,2012,39031208,61203536
That's My Boy,116.0,2012,91072819,75536274
Taken 2,91.0,2012,58546812,489374990
Robot & Frank,85.0,2012,3252600,4326008
The Apparition,82.0,2012,22117684,12525754
The Master,137.0,2012,41633289,36764874
Dredd,95.0,2012,65052014,53391755
Pitch Perfect,112.0,2012,22117684,150075550
회사원,96.0,2012,4553640,9548852
Arbitrage,100.0,2012,15612483,46167487
Trance,101.0,2013,25493264,30925329
Grown Ups 2,100.0,2013,101973056,314821770
Captain Phillips,134.0,2013,70106476,121093004
Dabba,104.0,2013,1274663,5398391
Mandela: Long Walk to Freedom,141.0,2013,44613212,34836545
The Great Gatsby,143.0,2013,133839636,447458304
Kaappari,93.0,2013,2294393,678463
Grudge Match,113.0,2013,50986528,57241631
Hunting Elephants,107.0,2013,2931725,5735984
La grande bellezza,142.0,2013,15805823,10670313
The Physician,155.0,2013,40789222,73018108
The Canyons,99.0,2013,318665,72432
Blue Jasmine,98.0,2013,22943937,126454511
Percy Jackson: Sea of Monsters,106.0,2013,114719688,222529109
The Smurfs 2,105.0,2013,133839636,442861561
Elysium,109.0,2013,146586268,364733020
Man of Tai Chi,105.0,2013,31866580,2619357
We're the Millers,110.0,2013,47162538,344151567
Riddick,119.0,2013,48437201,125346931
Kick-Ass 2,103.0,2013,35690569,77372056
Baggage Claim,96.0,2013,10834637,28624485
Now You See Me,115.0,2013,95599740,150026448
Begin Again,104.0,2013,10197305,80896322
Star Trek Into Darkness,132.0,2013,242186008,595733280
The Big Wedding,90.0,2013,44613212,27812319
Filth,97.0,2013,6373316,11617616
This Is the End,107.0,2013,40789222,160660234
Only God Forgives,90.0,2013,6118383,13176686
Adore,100.0,2013,20394611,406594
The Immigrant,117.0,2013,20394611,7479323
Yeh Jawaani Hai Deewani,159.0,2013,9814906,58634507
Belle,105.0,2013,13893828,21038902
一代宗師,130.0,2013,4920199,81676257
Labor Day,111.0,2013,22943937,25844831
The Young and Prodigious T.S. Spivet,105.0,2013,42063885,12102658
Home Run,114.0,2013,1529595,3646836
Bad Words,88.0,2013,12109300,9942372
キャプテンハーロック,115.0,2013,38239896,21844288
Camille Claudel 1915,95.0,2013,4477195,147682
Pain & Gain,130.0,2013,31866580,109844472
Scary Movie 5,86.0,2013,25493264,99906500
Oculus,104.0,2013,6373316,56123734
Mud,130.0,2013,12746632,27517046
Legends of Oz: Dorothy's Return,88.0,2013,89226424,23787799
Diana,113.0,2013,19119948,27744664
The Railway Man,116.0,2013,22943937,28436745
Black Nativity,93.0,2013,22306606,8945827
The Hangover Part III,100.0,2013,131290309,461428170
A Perfect Man,95.0,2013,6373316,494
Oldboy,104.0,2013,38239896,6196165
Anchorman 2: The Legend Continues,119.0,2013,63733160,221344009
Blood Ties,128.0,2013,32503911,3078913
Planes,91.0,2013,63733160,280156583
Iron Man 3,130.0,2013,254932640,1549276632
Metegol,106.0,2013,28042590,30591916
The Frozen Ground,105.0,2013,34696332,7006761
Man of Steel,143.0,2013,286799220,844904789
स्पेशल 26,144.0,2013,9050108,22943937
Runner Runner,91.0,2013,38239896,79815134
La vie d'Adèle - Chapitres 1 et 2,179.0,2013,5481051,12957836
Parkland,94.0,2013,12746632,833184
On the Job,120.0,2013,1341905,594105
Cloudy with a Chance of Meatballs 2,95.0,2013,99423729,316606735
Out of the Furnace,116.0,2013,28042590,19629813
Prisoners,153.0,2013,58634507,155670393
Grand Masti,140.0,2013,7010647,59909170
Gravity,91.0,2013,133839636,913159418
The Butler,132.0,2013,31866580,147761730
Metallica: Through the Never,93.0,2013,22943937,10162847
About Time,123.0,2013,15295958,111023737
Battle of the Year,110.0,2013,25493264,21095009
In a World...,93.0,2013,1274663,3777976
Saving Mr. Banks,125.0,2013,44613212,143456434
Getaway,90.0,2013,22943937,13386433
No se Aceptan Devoluciones,115.0,2013,7010647,126277321
Nebraska,115.0,2013,15295958,22504066
After Earth,100.0,2013,165706216,310817860
Empire State,94.0,2013,14021295,4638939
What If,93.0,2013,14021295,10002282
Chennai Express,141.0,2013,22943937,79029118
Monsters University,104.0,2013,254932640,947788068
Minuscule - La vallée des fourmis perdues,89.0,2013,25110865,38239896
The To Do List,104.0,2013,1911994,4545735
Behind the Candelabra,118.0,2013,29317253,19884745
Paranoia,106.0,2013,44613212,17571251
Rush,123.0,2013,48437201,115035325
The Wolverine,126.0,2013,152959584,529546937
What Maisie Knew,93.0,2013,7647979,1359391
Despicable Me 2,98.0,2013,96874403,1237394451
White House Down,131.0,2013,191199480,261773422
The World's End,109.0,2013,25493264,58748318
Hummingbird,100.0,2013,25493264,10647115
The Heat,117.0,2013,54810517,202256138
World War Z,116.0,2013,254932640,677948743
風立ちぬ,126.0,2013,38239896,150324091
La migliore offerta,124.0,2013,17207953,24544752
The Spectacular Now,95.0,2013,3186658,8737320
Bhaag Milkha Bhaag,186.0,2013,5863450,31866580
Pacific Rim,131.0,2013,229439376,519556424
Machete Kills,107.0,2013,15295958,19130350
R.I.P.D.,96.0,2013,165706216,78581074
The Conjuring,112.0,2013,16570621,405343077
Turbo,96.0,2013,172079532,360182449
The Lone Ranger,149.0,2013,325039116,113814562
Jobs,128.0,2013,15295958,45800446
Alan Partridge: Alpha Papa,90.0,2013,5098652,12491699
The Mortal Instruments: City of Bones,130.0,2013,76479792,115440409
Austenland,97.0,2013,6245849,2752050
The Family,111.0,2013,38239896,47027710
The Way Way Back,103.0,2013,5863450,29570468
2 Guns,109.0,2013,77754455,168179586
No One Lives,86.0,2013,3696523,95495
Ida,80.0,2013,2752354,19500250
Philomena,98.0,2013,15295958,127631863
Last Vegas,105.0,2013,35690569,171317857
Oblivion,124.0,2013,152959584,364768547
Khumba,85.0,2013,25493264,34654746
The Host,125.0,2013,56085180,80720852
The Last Exorcism Part II,88.0,2013,6373316,19348497
The Bling Ring,90.0,2013,19119948,24404360
Dark Skies,97.0,2013,4461321,32088774
Gangster Squad,113.0,2013,76479792,134095719
Texas Chainsaw 3D,92.0,2013,25493264,60217568
The Place Beyond the Pines,140.0,2013,19119948,45232198
Madras Cafe,130.0,2013,6883181,8285310
धूम ३,172.0,2013,24855932,115994351
Трудно быть богом,170.0,2013,8922642,1670666
Warm Bodies,97.0,2013,44613212,149110945
A Haunted House,86.0,2013,3186658,76660390
Soodhu Kavvum,138.0,2013,395145,15295958
Make Your Move,110.0,2013,19,155
F.C. De Kampioenen: Kampioen zijn blijft plezant,115.0,2013,4907193,9523396
Arrambam,157.0,2013,11726901,26767927
Bei Jing yu shang Xi Ya Tu,123.0,2013,6221631,103693851
Ostrov Vezeniya,82.0,2013,2549326,6123055
Camille Claudel 1915,95.0,2013,4477195,147682
விஸ்வரூபம்,147.0,2013,21669274,65007823
Welcome to the Punch,99.0,2013,10834637,12424
Los amantes pasajeros,90.0,2013,6373316,14944303
The Purge,86.0,2013,3823989,113863913
Lootera,136.0,2013,5226119,5481051
Gåten Ragnarok,120.0,2013,8285310,4743461
Olympus Has Fallen,120.0,2013,89226424,205253457
Phantom,99.0,2013,12746632,1318752
베를린,120.0,2013,11471968,62414151
The Internship,119.0,2013,73930465,56085180
Life of Crime,94.0,2013,15295958,338361
CBGB,101.0,2013,6373316,51496
Nothing Left to Fear,100.0,2013,3823989,2135546
Oz: The Great and Powerful,130.0,2013,254932640,626966737
Nurse 3-D,99.0,2013,12,12746632
Stoker,99.0,2013,15295958,15394669
Third Person,137.0,2013,35690569,2229642
G.I. Joe: Retaliation,110.0,2013,165706216,474017006
Wolf Creek 2,106.0,2013,10197305,12275572
Spring Breakers,94.0,2013,6373316,40437777
The Face of Love,92.0,2013,5098652,446139
The Call,94.0,2013,16570621,87406686
Evil Dead,91.0,2013,21669274,124334411
Walking With Dinosaurs,87.0,2013,101973056,161304189
Сталинград,131.0,2013,38239896,86842189
かぐや姫の物語,137.0,2013,62840895,30829299
Admission,107.0,2013,16570621,22943937
Bullet to the Head,92.0,2013,70106476,12096335
Aashiqui 2,132.0,2013,1657062,20394611
ദൃശ്യം,160.0,2013,955997,15295958
The Croods,98.0,2013,172079532,745906045
Gimme Shelter,101.0,2013,9559974,1733427
The Incredible Burt Wonderstone,100.0,2013,38239896,34974057
Jimmy P.,117.0,2013,12746632,38600
The Adventurer: The Curse of the Midas Box,99.0,2013,31866580,8156
Before Midnight,108.0,2013,3823989,14246233
Sweetwater,95.0,2013,8922642,7835
American Hustle,138.0,2013,50986528,320159459
42,128.0,2013,50986528,121118768
Mindscape,99.0,2013,5554183,1529595
The Secret Life of Walter Mitty,114.0,2013,114719688,239806622
Her,126.0,2013,29317253,60356897
The Hobbit: The Desolation of Smaug,161.0,2013,318665800,1221637211
Lone Survivor,121.0,2013,50986528,190301608
The Hunger Games: Catching Fire,146.0,2013,165706216,1080179489
The Best Man Holiday,123.0,2013,21669274,91298000
Le passé,130.0,2013,14021295,13551896
Escape Plan,115.0,2013,63733160,156675368
Carrie,100.0,2013,38239896,105024966
The Fifth Estate,128.0,2013,35690569,10904753
The Counselor,117.0,2013,31866580,90512984
12 Years a Slave,134.0,2013,25493264,238362018
All Is Lost,106.0,2013,11471968,7786560
Ender's Game,114.0,2013,140212952,160017637
Jackass Presents: Bad Grandpa,92.0,2013,19119948,193534072
Thor: The Dark World,112.0,2013,216692744,821611446
Dallas Buyers Club,117.0,2013,6373316,70359222
Free Birds,91.0,2013,70106476,140212952
Mama,100.0,2013,19119948,186735317
Epic,102.0,2013,127466320,342153552
August: Osage County,121.0,2013,31866580,94565907
ആമേൻ,165.0,2013,140212,344159
The Wolf of Wall Street,180.0,2013,127466320,499668859
Homefront,100.0,2013,28042590,54885592
Upstream Color,96.0,2013,127466,566075
Frozen,102.0,2013,191199480,1624200080
21 & Over,93.0,2013,16570621,61267543
Hross í oss,85.0,2013,12,14
A Good Day to Die Hard,98.0,2013,117269014,388331474
Beautiful Creatures,124.0,2013,76479792,76546250
रान्झाना,140.0,2013,8157844,22943937
Identity Thief,111.0,2013,44613212,221746796
Side Effects,106.0,2013,38239896,80778921
The East,116.0,2013,8285310,3061116
Snitch,112.0,2013,44613212,54721880
Viva la libertà,94.0,2013,6373316,61343
Fast & Furious 6,130.0,2013,203946112,1005301181
Safe Haven,115.0,2013,35690569,124399658
Delivery Man,105.0,2013,33141243,65217003
Inside Llewyn Davis,105.0,2013,14021295,41981439
Hansel & Gretel: Witch Hunters,88.0,2013,63733160,286548716
ಲೂಸಿಯಾ,136.0,2013,100698,216692
Lovelace,92.0,2013,12746632,2021083
Parker,118.0,2013,44613212,58910651
Escape from Planet Earth,89.0,2013,50986528,95086870
Jack the Giant Slayer,114.0,2013,248559324,251985112
The Sacrament,99.0,2013,5098652,11753
Broken City,109.0,2013,71381139,25112348
Snowpiercer,126.0,2013,49966797,110588392
47 Ronin,119.0,2013,223066060,192426311
Movie 43,90.0,2013,7647979,41348784
Night at the Museum: Secret of the Tomb,97.0,2014,159545156,438968125
99 Homes,112.0,2014,10050088,1773748
Into the Woods,125.0,2014,62813053,267460963
And So It Goes,94.0,2014,22612699,31798966
The Interview,112.0,2014,55275487,15505568
How to Train Your Dragon 2,102.0,2014,182157856,765217576
Seventh Son,102.0,2014,119344802,143438147
The Equalizer,132.0,2014,69094359,241617620
Il capitale umano,111.0,2014,7537566,7298035
Annie,119.0,2014,81656970,168115138
Miss Julie,120.0,2014,6909435,6281305
22 Jump Street,112.0,2014,62813053,236731865
Sex Tape,97.0,2014,50250443,158376217
The Book of Life,95.0,2014,62813053,122406443
Escobar: Paradise Lost,120.0,2014,21356438,4721441
Hercules,99.0,2014,125626107,305773946
Honeymoon,87.0,2014,1256261,11705
The Drop,106.0,2014,15828889,23937469
The Maze Runner,113.0,2014,42712876,437580684
The Guest,99.0,2014,6281305,2973772
Maleficent,97.0,2014,226126994,952924008
Big Eyes,105.0,2014,12562610,36285230
PK,153.0,2014,16331394,150751329
Before I Go to Sleep,92.0,2014,27637743,19405658
Blended,117.0,2014,50250443,155141471
A Most Violent Year,125.0,2014,25125221,15084014
No Good Deed,83.0,2014,16582646,67625055
Boyhood,164.0,2014,5025044,55713922
X-Men: Days of Future Past,131.0,2014,314065269,939510896
Godzilla,123.0,2014,201001772,664657672
Cake,102.0,2014,8793827,2965129
The Woman in Black 2: Angel of Death,90.0,2014,1256261,33292580
Viy,127.0,2014,32662788,43456731
The Grand Seduction,112.0,2014,15954515,4308998
Walk of Shame,95.0,2014,18843916,74381
Chef,114.0,2014,13818871,57747727
Afflicted,85.0,2014,399491,152232
Million Dollar Arm,124.0,2014,31406526,48124380
Wild,115.0,2014,18843916,65955642
Edge of Tomorrow,113.0,2014,223614471,465496557
Torrente 5: Operación Eurovegas,105.0,2014,11648601,14663535
The Gambler,111.0,2014,31406526,49209166
Lucy,89.0,2014,50250443,158975850
Moms' Night Out,98.0,2014,6281305,13102434
Fury,135.0,2014,85425753,266098590
Dracula Untold,92.0,2014,87938275,270760946
Taken 3,109.0,2014,60300531,409253960
Birdman,119.0,2014,22612699,129665105
A Girl Walks Home Alone at Night,99.0,2014,1256261,496223
Mommy,138.0,2014,6155679,4389464
The Fault in Our Stars,125.0,2014,15075132,385881738
Into the Storm,89.0,2014,62813053,201758285
Atlas Shrugged Part III: Who is John Galt?,99.0,2014,6281305,1063681
A Walk Among the Tombstones,113.0,2014,35175310,66809974
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",81.0,2014,35175310,126447889
The Best of Me,117.0,2014,32662788,45132703
Pompeii,105.0,2014,163313940,148027291
Nightcrawler,117.0,2014,10678219,48613807
St. Vincent,102.0,2014,16331394,68889882
Big Hero 6,102.0,2014,207283077,819214686
STAND BY ME ドラえもん,90.0,2014,43969137,104346499
Predestination,97.0,2014,6909435,3768783
The Salvation,100.0,2014,13190741,52850903
Guardians of the Galaxy,121.0,2014,213564383,971502657
The Prince,93.0,2014,22612699,334902620
The Purge: Anarchy,104.0,2014,11306349,136659656
Annabelle,99.0,2014,8165697,320690555
Ouija,89.0,2014,6281305,130136425
This Is Where I Leave You,103.0,2014,24873969,51878959
Tusk,102.0,2014,3517531,2294818
American Sniper,133.0,2014,73868151,681279707
La isla mínima,105.0,2014,5025044,6494561
Unbroken,137.0,2014,81656970,205327000
The Signal,95.0,2014,5025044,754882
Locke,85.0,2014,2512522,5823146
Left Behind,110.0,2014,20100177,24726891
Infinitely Polar Bear,87.0,2014,8416949,1797276
John Wick,101.0,2014,25125221,111507819
The Judge,141.0,2014,62813053,105173408
Transcendence,119.0,2014,125626107,129444209
The November Man,108.0,2014,18843916,40898985
Big Game,90.0,2014,10678219,9421958
The Expendables 3,127.0,2014,113063497,259006542
The Homesman,122.0,2014,20100177,4325122
Suite Française,107.0,2014,18843916,11437900
Camp X-Ray,117.0,2014,1256261,75054
A Most Wanted Man,121.0,2014,18843916,39641136
The Pyramid,89.0,2014,8165697,17418606
Samba,118.0,2014,25125221,190361
The Rover,103.0,2014,15389198,2883650
Magic in the Moonlight,97.0,2014,21105186,64106200
My Old Lady,107.0,2014,6281305,9456168
Brick Mansions,90.0,2014,35175310,86552404
The Hundred-Foot Journey,122.0,2014,27637743,111657516
The Giver,94.0,2014,31406526,84144939
一個人的武林,100.0,2014,31406526,162202
Heaven is for Real,99.0,2014,15075132,127300656
Let's Be Cops,104.0,2014,21356438,171631985
Earth to Echo,89.0,2014,16331394,56908626
Wish I Was Here,120.0,2014,6909435,6888455
Sin City: A Dame to Kill For,102.0,2014,81656970,49506254
The Other Woman,109.0,2014,50250443,247208553
If I Stay,106.0,2014,13818871,99087395
The Boxtrolls,97.0,2014,75375664,135997510
"Deux jours, une nuit",95.0,2014,8793827,8619022
Teenage Mutant Ninja Turtles,101.0,2014,157032634,599487786
"As Above, So Below",93.0,2014,6281305,50376069
Kill the Messenger,112.0,2014,6281305,3078902
Whiplash,105.0,2014,4145661,16446970
The Quiet Ones,98.0,2014,251252,22405249
The Amazing Spider-Man 2,142.0,2014,251252215,886565341
Muppets Most Wanted,112.0,2014,62813053,100982398
Joe,118.0,2014,5025044,2971644
Ride Along,99.0,2014,31406526,193461466
Gemma Bovery,99.0,2014,12185732,194344
Yves Saint Laurent,106.0,2014,15075132,26414509
Paranormal Activity: The Marked Ones,84.0,2014,6281305,108493686
Duniyadari,148.0,2014,489941,3
Legok na Pomine,83.0,2014,2705875,6111157
Jack Ryan: Shadow Recruit,105.0,2014,75375664,63502875
"Быстрее, чем кролики",99.0,2014,3768783,6633035
मैरी कोम,122.0,2014,281472,19517684
Поводир,120.0,2014,907124,627085
Na Maloom Afraad,137.0,2014,1110698,2838451
Parts Per Billion,139.0,2014,628130,18843916
Raja Natwarlal,141.0,2014,6,5
Heropanti,146.0,2014,5276296,12562610
Jersey Boys,134.0,2014,50250443,84605431
வீரம்,161.0,2014,7411940,23868960
किक,146.0,2014,27637743,69094359
ഓം ശാന്തി ഓശാന,130.0,2014,276377,1884391
ബാംഗ്ലൂർ ഡെയ്സ്,172.0,2014,9296331,1633139
13 Sins,93.0,2014,6281305,17347
Step Up All In,112.0,2014,56531748,108246547
Кавказская пленница!,95.0,2014,4396913,224870
3 Days to Kill,113.0,2014,35175310,66076818
Think Like a Man Too,105.0,2014,30150265,88166196
Captain America: The Winter Soldier,136.0,2014,213564383,897933424
Mrs. Brown's Boys D'Movie,94.0,2014,7411940,28894004
Barefoot,90.0,2014,7537566,18933
Need for Speed,130.0,2014,82913231,255369782
Barbecue,98.0,2014,7537566,18025498
The Raid 2: Berandal,150.0,2014,5653174,3300460
Under the Skin,108.0,2014,16708272,6758999
Mr. Peabody & Sherman,92.0,2014,182157856,342849263
Draft Day,109.0,2014,31406526,36219445
Non-Stop,106.0,2014,62813053,279907028
That Awkward Moment,94.0,2014,10050088,32724447
Interstellar,169.0,2014,207283077,848127000
The Grand Budapest Hotel,99.0,2014,37687832,219343583
About Last Night,100.0,2014,15703263,61560164
300: Rise of an Empire,102.0,2014,138188718,424088678
명량,126.0,2014,11934480,140898236
Veronica Mars,107.0,2014,7537566,4378229
50 to 1,110.0,2014,12562610,1337232
Все и сразу,0.0,2014,942195,3
Son of God,138.0,2014,27637743,85174581
Noah,139.0,2014,157032634,455567342
The Legend of Hercules,99.0,2014,87938275,76982990
The Green Inferno,100.0,2014,6281305,8584590
5 Flights Up,92.0,2014,7537566,1282543
God's Not Dead,113.0,2014,21356438,37422761
Song One,86.0,2014,7537566,40515
The Zero Theorem,107.0,2014,10678219,968207
Paddington,95.0,2014,69094359,325631950
Clouds of Sils Maria,124.0,2014,8291323,2325988
Rio 2,102.0,2014,129394891,628367262
The Hobbit: The Battle of the Five Armies,144.0,2014,314065269,1201010449
Beyond the Lights,116.0,2014,8793827,18364937
Selma,127.0,2014,25125221,83903049
Neighbors,96.0,2014,22612699,336875704
Dawn of the Planet of the Apes,130.0,2014,213564383,892755108
Divergent,139.0,2014,106782191,362742741
Gone Girl,145.0,2014,76631925,463975360
The Imitation Game,113.0,2014,17587655,293406945
Inherent Vice,148.0,2014,25125221,13958285
The Hunger Games: Mockingjay - Part 1,123.0,2014,157032634,944834244
Exodus: Gods and Kings,150.0,2014,175876550,336717953
Dumb and Dumber To,110.0,2014,50250443,213359625
Repentance,90.0,2014,6281305,1494463
The Theory of Everything,123.0,2014,18843916,155433022
Fehér Isten,121.0,2014,2763774,354715
Dolphin Tale 2,107.0,2014,45225398,65858900
Endless Love,103.0,2014,25125221,42810764
Still Alice,99.0,2014,6281305,55130580
When the Game Stands Tall,115.0,2014,18843916,37848587
Aloft,112.0,2014,10050088,66689
Tammy,97.0,2014,25125221,126286187
Foxcatcher,134.0,2014,30150265,15196110
Treehouse,96.0,2014,4082848,4082848
The Water Diviner,112.0,2014,28265874,19497200
Black or White,121.0,2014,11306349,27099045
RoboCop,102.0,2014,150751329,304880700
The Lego Movie,100.0,2014,75375664,589388316
Winter's Tale,118.0,2014,75375664,38693131
The Monuments Men,118.0,2014,87938275,194700410
Better Living Through Chemistry,91.0,2014,6281305,94399
"I, Frankenstein",92.0,2014,81656970,89388744
Zid,128.0,2014,1955104,1593435
Black Rose,83.0,2014,8793827,1074668
Justice League: War,79.0,2014,4396913,6476434
Sous les jupes des filles,116.0,2014,6281305,15148231
Sabotage,110.0,2014,43969137,21995269
Decoding Annie Parker,91.0,2014,2512522,60790
Devil's Due,89.0,2014,8793827,45770584
Opposite Sex,96.0,2014,4145661,56531
La Belle et la Bête,112.0,2014,41456615,61682418
Life After Beth,90.0,2014,3015026,110893
Penguins of Madagascar,92.0,2014,165826462,469278956
The Babadook,93.0,2014,2512522,8387390
Planes: Fire & Rescue,83.0,2014,62813053,189903694
Horrible Bosses 2,108.0,2014,52762965,135262078
Transformers: Age of Extinction,165.0,2014,263814826,1371089743
The Loft,108.0,2014,17587655,12659079
The Gunman,115.0,2015,49448281,16867169
Pixels,105.0,2015,108786219,301185887
Max,111.0,2015,24724140,54352630
Run All Night,114.0,2015,61810352,88465008
Krampus,98.0,2015,18543105,76086945
The Last Witch Hunter,106.0,2015,111258633,181644443
Self/less,116.0,2015,32141383,37733026
Little Boy,106.0,2015,24724140,8017990
Gabbar Is Back,128.0,2015,13598277,50684488
Cinderella,105.0,2015,117439669,671896271
The Hunger Games: Mockingjay - Part 2,137.0,2015,197793126,807772618
天將雄師,127.0,2015,80353457,150255654
Inside Out,94.0,2015,216336232,1060184973
Pan,111.0,2015,185431056,158714545
Entourage,104.0,2015,37086211,60899767
Home,94.0,2015,166887950,456000936
Youth,118.0,2015,16515726,2472414
Insurgent,119.0,2015,135982774,364975543
Aloha,105.0,2015,45739660,32450459
Trainwreck,125.0,2015,43267246,174052750
Spy,120.0,2015,80353457,291332239
The Walk,123.0,2015,43267246,75633547
While We're Young,97.0,2015,12362070,9379702
Poltergeist,93.0,2015,43267246,117981120
Secret in Their Eyes,111.0,2015,24106037,43087984
Paul Blart: Mall Cop 2,94.0,2015,46975867,133012468
Hitman: Agent 47,96.0,2015,43267246,101328739
狼图腾,116.0,2015,46975867,152307660
Unfinished Business,91.0,2015,43267246,17840016
Furious 7,137.0,2015,234879338,1862036067
Unfriended,82.0,2015,1236207,77735282
Hot Pursuit,87.0,2015,43267246,63887428
Maggie,95.0,2015,4944828,231309
The Lobster,118.0,2015,4944828,19354296
Strangerland,111.0,2015,12362070,21599
Carol,118.0,2015,14587243,49784696
The Lazarus Effect,83.0,2015,4079483,79254133
Pitch Perfect 2,115.0,2015,35850004,355417182
The Martian,141.0,2015,133510360,779010566
Ricki and the Flash,100.0,2015,22251726,51086661
Child 44,137.0,2015,61810352,4109560
San Andreas,114.0,2015,135982774,581624080
Get Hard,100.0,2015,49448281,138222105
Grandma,78.0,2015,741724,8761558
Danny Collins,107.0,2015,12362070,13395232
The Age of Adaline,112.0,2015,30905176,81173404
The Longest Ride,128.0,2015,42031039,77897461
Woman in Gold,120.0,2015,13598277,76174797
Piku,123.0,2015,6799138,27393378
Tracers,94.0,2015,13598277,733915
Sinister 2,97.0,2015,12362070,65373123
Fantastic Four,100.0,2015,148344845,207655087
刺客聶隱娘,105.0,2015,18543105,781952
A Walk in the Woods,104.0,2015,9889656,44492435
The Man from U.N.C.L.E.,116.0,2015,92715528,133689745
Everest,121.0,2015,67991387,251478612
Victor Frankenstein,109.0,2015,49448281,42312026
Brooklyn,111.0,2015,13598277,76738962
Our Brand Is Crisis,108.0,2015,34613797,8656244
The 33,120.0,2015,30905176,30784921
Paranormal Activity: The Ghost Dimension,88.0,2015,12362070,96543508
Aferim!,108.0,2015,1705193,129921
Momentum,96.0,2015,24724140,164825
Rock the Kasbah,100.0,2015,18543105,3734166
Joy,124.0,2015,74172422,125022636
The Perfect Guy,100.0,2015,14834484,74510120
Tangerine,87.0,2015,123620,868254
By the Sea,122.0,2015,12362070,4608265
The Dressmaker,118.0,2015,14747950,22672037
No Escape,103.0,2015,6181035,67272992
Straight Outta Compton,147.0,2015,34613797,249262596
Lost River,95.0,2015,2472414,56162
Project Almanac,106.0,2015,14834484,39865502
Ant-Man,117.0,2015,160706915,641977108
Goosebumps,103.0,2015,71700008,195521952
The Danish Girl,120.0,2015,18543105,79354012
Jem and the Holograms,119.0,2015,6181035,2884916
बदलापुर,128.0,2015,4573966,14191656
War Room,120.0,2015,3708621,83802620
Spotlight,128.0,2015,24724140,109214532
The Little Prince,92.0,2015,79117250,120618266
Knock Knock,99.0,2015,3090517,7839634
Freeheld,103.0,2015,8653449,708760
捉妖记,111.0,2015,49448281,476291804
The Transporter Refueled,96.0,2015,30905176,89785309
Hotel Transylvania 2,89.0,2015,98896563,585006498
Equals,101.0,2015,19779312,2577031
Scouts Guide to the Zombie Apocalypse,93.0,2015,18543105,18370983
Suffragette,106.0,2015,17306898,19782304
We Are Your Friends,96.0,2015,7417242,13749205
Bridge of Spies,141.0,2015,49448281,204565499
Legend,131.0,2015,30905176,53123517
The Night Before,101.0,2015,30905176,64772299
Beasts of No Nation,137.0,2015,7417242,11221916
